"id","name","rating","year.built","park","make","ride"
"112","Runaway Mine Train","Family",2008,"Flamingo Land","Zamperla","rollercoaster"
"113","Runaway Mine Train","Family",2007,"Flamingo Land","Zamperla","rollercoaster"
"114","Runaway Mine Train","Thrill",2016,"Funland Amusement Park","L&T Systems","rollercoaster"
"115","Runaway Train","Family",1991,"Botton's Pleasure Beach","Meridian Ltd","rollercoaster"
"116","Runaway Train","Family",2008,"Pettitts Animal Adventure Park","Zamperla","rollercoaster"
"117","Runaway Train","Family",2002,"Gulliver's Milton Keynes","Zamperla","rollercoaster"
"118","Runaway Train","Family",2013,"Billing Aquadrome","Cavazza Diego","rollercoaster"
"119","Runaway Train","Family",2016,"Gulliver's Warrington","Zamperla","rollercoaster"
"120","Runaway Train","Family",2016,"St Nicholas Park","SBF Visa Group","rollercoaster"
"121","Saw - The Ride","Extreme",2009,"Thorpe Park","Gerstlauer","rollercoaster"
"122","Scenic Railway","Thrill",1920,"Dreamland","Great Coasters International","rollercoaster"
"123","Scorpion Express","Family",1987,"Chessington World of Adventures","Mack Rides","rollercoaster"
"124","Sea Dragon","Family",1996,"Rainbow Park","Cavazza Diego","rollercoaster"
"125","Shark Bay","Family",2014,"Crealy Adventure Park","SBF Visa Group","rollercoaster"
"126","Shockwave","Extreme",1994,"Drayton Manor","Intamin","rollercoaster"
"127","Smiler","Extreme",2013,"Alton Towers","Gerstlauer","rollercoaster"
"128","Speed Coaster","Family",2018,"Flamingo Park","Mack Rides","rollercoaster"
"129","Speed Coaster","Family",2018,"Ocean Beach Pleasure Park","D.P.V. Rides","rollercoaster"
"130","Spinball Whizzer","Thrill",2004,"Alton Towers","Maurer Rides","rollercoaster"
"131","Spinning Coaster","Family",2016,"Cannon Hill Park","SBF Visa Group","rollercoaster"
"132","Spook Express","Family",2018,"Joyland Childrens Fun Park","WGH Transportation","rollercoaster"
"133","Stealth","Extreme",2006,"Thorpe Park","Intamin","rollercoaster"
"134","Steeplechase","Family",1977,"Blackpool Pleasure Beach","Arrow Dynamics","rollercoaster"
"135","Stellas Revenge","Thrill",2011,"Clacton Pier","Interpark","rollercoaster"
"136","Super Dragon","Family",1990,"Treasure Island Amusement Park","Pinfari","rollercoaster"
"137","Swarm","Extreme",2012,"Thorpe Park","Bolliger & Mabillard","rollercoaster"
"138","Switchback","Family",2004,"Gulliver's Matlock Bath","I.E. Park","rollercoaster"
"139","The Walking Dead - The Ride","Family",1996,"Thorpe Park","Vekoma","rollercoaster"
"140","Thirteen","Thrill",2010,"Alton Towers","Intamin","rollercoaster"
"141","Troublesome Trucks Runaway Coaster","Family",2008,"Drayton Manor","Gerstlauer","rollercoaster"
"142","Turbo","Extreme",2003,"Brighton Pier","Pinfari","rollercoaster"
"143","Twist and Joust","Family",2014,"Gulliver's Milton Keynes","Eos Rides","rollercoaster"
"144","Twister","Thrill",2001,"Lightwater Valley","Reverchon","rollercoaster"
"145","Twister Rollercoaster","Thrill",2015,"Crealy Adventure Park","SBF Visa Group","rollercoaster"
"146","Twistosaurus","Family",2013,"Flamingo Land","Zamperla","rollercoaster"
"147","Tyrolean Tubtwist","Family",2015,"Joyland Childrens Fun Park","Zamperla","rollercoaster"
"148","Ultimate","Extreme",1991,"Lightwater Valley","Big Country Motioneering","rollercoaster"
"149","Vampire","Thrill",1990,"Chessington World of Adventures","Arrow Dynamics","rollercoaster"
"150","Velociraptor","Family",2016,"Paultons Park","Vekoma","rollercoaster"
"151","Velocity","Thrill",2005,"Flamingo Land","Vekoma","rollercoaster"
"152","Wacky Warm","Thrill",2016,"Funder Park","Güven Lunapark","rollercoaster"
"153","Wacky Worm","Family",2018,"Funland at the Tropicana","Güven Lunapark","rollercoaster"
"154","Wallis's Wonderful Wriggling Wirral Wacky Worm","Family",2004,"New Brighton Funfair","Fabbri","rollercoaster"
"155","Wall's Twister Ride","Family",2004,"New Brighton Funfair","Fabbri","rollercoaster"
"156","Whirlwind","Family",2015,"Great Yarmouth Pleasure Beach","SBF Visa Group","rollercoaster"
"157","Wicker Man","Thrill",2018,"Alton Towers","Great Coasters International","rollercoaster"
"158","Wild Bill's Runaway Train","Family",2004,"Adventure Wonderland","D.P.V. Rides","rollercoaster"
"159","Wild Mouse","Thrill",2018,"Funland at the Tropicana","Interpark","rollercoaster"
"160","Wild Mouse Coaster","Family",2010,"Clacton Pier","D.P.V. Rides","rollercoaster"
"161","Wipeout","Extreme",2007,"Pleasurewood Hills","Vekoma","rollercoaster"
"162","Wriggler","Family",2013,"Gulliver's Warrington","Pinfari","rollercoaster"
"163","Zooom!","Family",2011,"Flamingo Land","Zamperla","rollercoaster"
